House_ID,Price ($),Size (sq ft),No_of_Bedrooms,Age_of_House
H141,452344.64,2271,4,17
H142,153479.57,2446,3,31
H143,145897.12,2492,4,95
H144,64010.34,2112,2,98
H145,343250.07,2835,4,38
H146,215836.85,1277,1,45
H147,438961.21,2054,2,28
H148,262944.46,1722,3,61
H149,485687.04,1219,1,92
H150,133486.48,3004,2,61
H151,440880.43,3397,3,56
H152,399468.58,1920,1,15
H153,396914.83,1750,1,55
H154,430152.45,3136,2,9
H155,392460.8,2077,5,29
H156,331799.14,3043,1,24
H157,109060.19,3445,1,83
H158,64636.78,2657,3,4
H159,464381.53,1316,4,64
H160,327492.64,2458,2,93
H161,408441.78,2665,2,48
H162,266685.06,1941,5,2
H163,102788.69,2732,5,44
H164,106333.61,1614,2,13
H165,358504.38,3075,5,29
H166,243637.65,2700,3,67
H167,140236.13,3063,2,17
H168,271217.55,2862,5,61
H169,78894.02,2894,2,36
H170,311887.13,3171,4,24
H171,171047.03,929,1,47
H172,408901.6,894,2,64
H173,189662.88,3474,1,52
H174,254849.07,2755,5,78
H175,55229.24,1593,1,72
H176,82601.1,2634,2,14
H177,226622.1,2916,4,48
H178,265972.48,2483,5,87
H179,320009.25,810,2,67
H180,181248.16,2665,5,11
H181,3779927.54,7919,9,58
H182,4440489.59,7597,7,36
H183,4119403.96,8205,9,60
H184,1158475.3,9807,8,42
H185,2922027.79,5814,10,69
H186,1419720.71,5345,11,38
H187,1968180.06,7349,7,55
H188,4946650.37,5362,11,62
H189,1569982.17,7443,8,45
H190,2995552.61,7265,11,87
H191,3472622.94,7188,7,10
H192,3809859.88,8005,8,61
H193,3238594.73,8281,11,76
H194,1039083.39,5984,10,97
H195,2305845.23,6639,8,24
H196,3070846.57,5827,8,70
H197,1351466,7730,10,51
H198,2402507.72,8531,9,3
H199,1132812.44,9451,7,58
H200,1314313.99,7935,9,71
