student_id,age,gender,daily_screen_time_min,num_apps_installed,social_min,gaming_min,productivity_min,study_min,other_min,call_min,sms_count,data_usage_mb,peak_usage_hour
80,27,Female,219,35,63,13,36,95,12,10,2,664,3
81,21,Female,307,41,240,5,20,18,24,6,1,382,21
82,23,Male,239,39,53,56,32,79,19,9,1,1088,22
83,30,Male,388,32,93,89,74,51,81,10,1,5,19
84,19,Female,287,40,109,17,2,107,52,7,0,668,3
85,27,Male,226,52,80,43,8,37,58,3,1,59,13
86,29,Male,271,44,22,130,4,94,21,5,2,444,20
87,19,Female,337,41,227,18,4,53,35,1,0,479,20
88,27,Female,249,39,86,30,83,33,17,6,1,877,4
89,21,Female,226,39,85,41,22,31,47,1,2,327,0
90,25,Male,322,48,29,50,132,17,94,6,2,827,20
91,24,Female,322,42,46,38,4,233,1,1,1,205,11
92,29,Male,254,27,6,128,1,94,25,1,1,837,8
93,26,Male,258,46,88,9,31,94,36,1,1,381,0
94,25,Female,321,37,84,29,70,83,55,0,1,518,17
95,22,Female,170,41,58,4,59,34,15,6,1,416,21
96,30,Female,173,37,47,83,30,11,2,7,3,821,23
97,19,Female,235,45,55,86,8,18,68,4,2,772,17
98,22,Female,281,34,120,7,3,100,51,1,4,611,16
99,25,Male,328,32,44,112,75,90,7,0,2,212,2
100,27,Male,433,40,184,22,93,128,6,0,2,321,17
101,26,Male,377,50,120,159,27,64,7,1,2,243,12
102,29,Male,286,41,29,54,4,56,143,11,2,5,18
103,29,Other,298,32,56,68,60,98,16,1,0,815,12
104,29,Male,210,40,82,39,7,48,34,2,1,418,8
105,30,Female,298,28,89,31,29,137,12,1,2,415,3
106,26,Female,274,34,136,67,7,27,37,1,1,874,10
107,30,Female,329,41,10,43,56,170,50,4,1,381,3
108,30,Female,226,45,62,59,14,38,53,5,1,290,6
109,18,Female,347,40,115,88,81,10,53,1,1,444,23
110,26,Female,438,38,264,77,14,15,68,0,1,217,14
111,24,Male,290,32,48,8,84,71,79,2,0,586,16
112,26,Female,336,38,85,19,24,203,5,1,2,407,22
113,25,Male,362,43,56,72,47,170,17,1,2,373,23
114,18,Male,264,44,13,79,8,158,6,16,2,352,18
115,29,Female,320,35,99,28,41,24,128,5,0,473,21
116,25,Male,301,46,91,48,26,119,17,4,3,521,11
117,25,Female,309,43,99,35,32,127,16,3,1,370,10
118,28,Female,230,30,60,15,29,123,3,3,0,410,13
119,20,Female,302,44,151,56,79,5,11,4,1,480,19
120,18,Male,345,47,111,29,62,139,4,6,1,454,19
121,25,Male,431,43,155,104,73,60,39,6,4,508,10
122,20,Female,386,36,24,5,200,157,0,1,1,331,4
123,20,Male,494,34,290,64,75,7,58,3,0,751,18
124,18,Other,231,33,58,44,71,39,19,3,2,524,4
125,28,Other,379,38,162,148,11,26,32,10,1,374,18
126,22,Female,317,47,106,26,48,74,63,5,1,586,19
127,27,Male,497,35,136,111,19,151,80,4,1,481,19
128,24,Male,227,42,39,31,36,93,28,1,1,67,20
129,27,Female,224,42,32,144,7,40,1,5,1,585,22
130,26,Male,246,41,132,20,17,44,33,1,3,245,15
131,29,Male,109,45,76,7,0,26,0,2,1,734,20
132,24,Female,253,48,36,14,50,84,69,1,0,440,18
133,26,Female,232,49,82,82,14,43,11,6,0,695,6
134,25,Female,314,39,53,85,41,129,6,1,1,342,0
135,29,Female,331,35,72,40,60,49,110,2,3,517,9
136,19,Male,469,42,99,117,11,240,2,11,0,803,14
137,18,Female,386,32,101,57,7,217,4,1,0,433,18
138,24,Other,248,33,115,25,27,51,30,4,2,352,21
139,24,Male,219,31,85,61,27,21,25,3,0,664,6
140,25,Female,344,36,84,61,45,153,1,0,0,659,4
141,22,Female,181,43,42,32,19,85,3,8,1,363,23
142,20,Female,465,34,140,18,137,103,67,0,0,5,3
143,29,Female,406,48,106,75,64,130,31,3,1,347,14
144,25,Female,258,42,172,45,4,33,4,4,1,669,18
145,23,Male,146,38,41,38,17,49,1,5,0,306,17
146,28,Male,422,40,152,16,126,20,108,6,2,497,2
147,20,Female,290,33,14,29,36,130,81,1,1,336,1
148,18,Female,411,29,21,165,49,132,44,0,1,17,3
149,20,Female,157,35,41,59,31,24,2,6,3,331,18
150,22,Female,246,36,15,17,41,161,12,4,0,668,17
151,20,Female,300,44,37,114,15,34,100,9,0,5,8
152,18,Female,304,41,135,57,51,47,14,9,3,563,18
153,22,Female,259,44,115,14,67,60,3,9,1,203,21
154,27,Female,356,42,151,58,54,58,35,3,3,652,1
155,24,Female,204,40,25,6,32,91,50,2,2,679,15
156,24,Female,287,37,114,90,19,19,45,8,4,457,19
157,28,Female,311,31,231,8,15,56,1,3,2,458,8
158,26,Male,346,44,162,110,30,44,0,1,4,298,10
159,27,Male,364,44,67,38,159,57,43,10,1,164,18
160,27,Male,199,35,99,62,5,33,0,11,1,925,22
161,29,Female,162,46,74,0,0,56,32,3,3,284,21
162,30,Male,415,35,176,103,47,73,16,0,2,892,18
163,20,Male,330,37,78,20,155,61,16,2,0,285,20
164,24,Female,233,51,62,31,44,79,17,8,0,631,12
165,18,Male,440,54,100,131,52,76,81,12,1,216,19
166,21,Female,310,33,69,6,98,119,18,1,2,631,14
167,30,Male,406,48,306,1,9,10,80,0,1,419,6
168,21,Male,306,46,41,16,7,58,184,10,3,422,19
169,22,Female,485,44,157,110,82,125,11,2,3,653,17
170,24,Male,458,35,93,130,17,116,102,4,0,383,12
171,24,Male,278,53,125,74,44,26,9,17,0,143,22
172,30,Female,387,33,113,10,128,132,4,0,2,690,0
173,28,Female,358,51,126,37,26,167,2,5,4,214,10
174,30,Male,423,44,73,151,153,32,14,0,1,629,1
175,21,Female,213,53,126,4,15,66,2,2,0,743,20
176,30,Male,362,36,53,40,65,155,49,8,1,406,19
177,24,Male,395,35,45,114,159,53,24,3,1,796,11
178,28,Female,142,29,65,3,40,33,1,29,2,620,19
179,20,Female,194,37,36,36,38,65,19,4,1,326,12
180,23,Female,116,28,28,2,2,68,16,2,2,850,20
181,29,Female,276,41,50,12,0,117,97,1,0,215,14
182,19,Other,365,36,36,156,12,24,137,2,2,406,13
183,27,Female,435,49,299,3,54,33,46,2,4,448,23
184,30,Male,307,35,135,90,69,10,3,0,3,651,8
185,26,Female,447,48,81,99,109,112,46,2,0,779,4
186,22,Male,176,48,56,8,8,51,53,3,2,763,18
187,23,Male,147,45,70,30,11,15,21,6,2,556,23
188,29,Male,295,40,18,27,37,208,5,5,1,430,12
189,29,Male,335,45,178,24,18,92,23,6,0,44,2
190,29,Other,297,38,139,64,34,50,10,0,2,171,11
191,29,Female,114,35,26,68,2,12,6,1,2,942,15
192,21,Female,292,37,18,79,88,103,4,5,0,41,5
193,28,Male,183,36,120,21,19,23,0,3,1,304,19
194,27,Male,360,24,187,35,74,45,19,0,3,786,23
195,24,Male,333,38,29,192,85,24,3,8,2,552,14
196,29,Male,215,46,38,23,38,108,8,7,0,732,11
197,26,Female,254,38,115,23,41,51,24,4,0,636,13
198,24,Female,205,53,81,26,7,15,76,0,2,867,3
199,18,Female,294,42,59,140,35,28,32,7,1,574,22
200,18,Male,386,53,102,105,124,52,3,4,1,666,13
