CUSTOMER_ID,TIMEON_SITE,PAGES_VISITED,CART_ADDITIONS,PURCHASE_MADE,DEVICE_TYPE,REFERRAL_SOURCE
169,78,4,4,5,Mobile,Google
74,186,5,3,2,Desktop,Email
96,158,5,1,0,Tablet,Email
31,143,3,5,2,Mobile,Direct
111,159,5,2,0,Mobile,Facebook
106,224,6,5,2,Mobile,Google
100,60,8,3,4,Tablet,Facebook
67,100,2,2,4,Mobile,Google
76,231,5,3,1,Mobile,Facebook
170,288,4,2,0,Tablet,Facebook
2,88,3,3,0,Tablet,Email
167,283,7,3,3,Tablet,Email
96,85,7,3,3,Mobile,Direct
135,105,7,4,1,Tablet,Email
11,269,2,3,4,Mobile,Email
125,227,9,3,2,Tablet,Google
27,86,2,5,0,Tablet,Email
199,252,8,5,4,Desktop,Google
151,93,4,2,3,Tablet,Direct
37,219,3,1,0,Tablet,Direct
54,99,8,3,2,Tablet,Direct
161,71,6,3,5,Mobile,Direct
134,170,4,4,4,Desktop,Facebook
140,211,2,2,3,Desktop,Facebook
164,289,7,2,3,Tablet,Email
134,239,1,2,0,Desktop,Direct
64,153,9,4,4,Tablet,Direct
135,164,8,3,1,Mobile,Google
46,258,5,5,1,Tablet,Email
130,130,8,2,3,Tablet,Email
154,163,1,3,1,Desktop,Facebook
198,108,2,5,5,Tablet,Email
50,103,5,2,5,Mobile,Email
19,122,4,5,2,Mobile,Google
126,287,5,4,2,Mobile,Facebook
111,99,4,1,2,Desktop,Google
168,270,2,4,2,Mobile,Email
75,204,5,1,5,Desktop,Direct
70,81,4,2,5,Desktop,Facebook
22,98,4,5,3,Mobile,Direct
